work	date	kind	status_2026_08_26	basis_or_conflict	primary_or_reference_url
Greyed Rainbow	1953	painting	US_PUBLIC_DOMAIN_STRONG	Art Institute copyright-law research says renewal was not filed	https://archive.artic.edu/ryerson/copyrightlaw/7
Circle	ca. 1938-1941	painting	US_PD_CANDIDATE_VERIFY	Commons says US publication 1931-1963 and no renewal; secondary evidence	https://commons.wikimedia.org/wiki/File:Circle_by_Jackson_Pollock.jpg
Number 1, 1950 (Lavender Mist)	1950	painting	CONFLICT_DO_NOT_VENDOR	Google Arts & Culture says CC0; NGA currently withholds download; Commons rationale incomplete/confusing	https://www.nga.gov/artworks/55819-number-1-1950-lavender-mist
No. 2, 1950	1950	painting	UNCLEAR_DO_NOT_VENDOR	Commons PDM language but page says US public-domain tag still required	https://commons.wikimedia.org/wiki/File:Jackson_Pollock,_No._2,_1950_Harvard.jpg
Collage and Oil	ca. 1951	painting/collage	CONFLICT_DO_NOT_VENDOR	Phillips says PKF/ARS copyright; Commons says PDM	https://www.phillipscollection.org/collection/collage-and-oil
Number 7, 1951	1951	painting	COPYRIGHTED_PRIMARY_SOURCE	NGA copyright notice	https://www.nga.gov/artworks/62619-number-7-1951
Number 7, 1952	1952	painting	COPYRIGHTED_PRIMARY_SOURCE	Met copyright notice	https://www.metmuseum.org/art/collection/search/484954
Number 28, 1950	1950	painting	COPYRIGHTED_PRIMARY_SOURCE	Met copyright notice	https://www.metmuseum.org/art/collection/search/490217
Number 27, 1950	1950	painting	COPYRIGHTED_PRIMARY_SOURCE	Whitney copyright notice	https://whitney.org/collection/works/2634
Stenographic Figure	ca. 1942	painting	COPYRIGHTED_PRIMARY_SOURCE	MoMA copyright notice	https://www.moma.org/collection/works/79686
Peddler	ca. 1930-1935	work on paper	US_PD_CANDIDATE_VERIFY	Commons says US publication without notice; Smithsonian object record available	https://commons.wikimedia.org/wiki/File:Peddler_by_Jackson_Pollock.jpg
